model_id,checkpoint_id,track,dataset,split_method,patient_level_split,preprocessing,classifier_head,frozen_or_finetuned,optimizer,learning_rate,weight_decay,batch_size,epochs,scheduler,augmentations,seed,checkpoint_selection,evaluation_metrics,source_evidence,verification_status
keepfit,keepfit-flair-mmretinal-cfp,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
keepfit,keepfit-half-flair-mmretinal-cfp,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""none"", ""input_size"": [512, 512], ""normalization"": ""scale_to_[0,1]"", ""prompt_template"": ""A fundus photograph of [CLS]"", ""resize"": ""preserve_aspect_then_pad_canvas"", ""tokenizer"": ""emilyalsentzer/Bio_ClinicalBERT""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,repository task scripts,partially_verified
keepfit,keepfit-half-flair-mmretinal-cfp,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
mirage,mirage-base,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""none"", ""input_size"": [512, 512], ""normalization"": ""official wrapper"", ""prompt_template"": ""not_applicable"", ""resize"": ""paired modality resize"", ""tokenizer"": ""not_applicable""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,official repository,partially_verified
mirage,mirage-base,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
mirage,mirage-large,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""none"", ""input_size"": [512, 512], ""normalization"": ""official wrapper"", ""prompt_template"": ""not_applicable"", ""resize"": ""paired modality resize"", ""tokenizer"": ""not_applicable""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,official repository,partially_verified
mirage,mirage-large,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
preti,preti-default,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""official transform"", ""input_size"": [224, 224], ""normalization"": ""official transform"", ""prompt_template"": ""not_applicable"", ""resize"": ""official transform"", ""tokenizer"": ""not_applicable""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,repository downstream scripts,partially_verified
preti,preti-default,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
ret-clip,ret-clip-default,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""none"", ""input_size"": [224, 224], ""normalization"": ""CLIP mean/std"", ""prompt_template"": ""free Chinese clinical text"", ""resize"": ""bicubic"", ""tokenizer"": ""RET_CLIP.clip.tokenize""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,RET_CLIP/eval and training scripts,partially_verified
ret-clip,ret-clip-default,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
retfound,retfound-cfp,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""center_256"", ""input_size"": [256, 256], ""normalization"": ""ImageNet mean/std"", ""prompt_template"": ""not_applicable"", ""resize"": ""bicubic"", ""tokenizer"": ""not_applicable""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,main_finetune.py,partially_verified
retfound,retfound-cfp,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
retfound,retfound-oct,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""center_256"", ""input_size"": [256, 256], ""normalization"": ""ImageNet mean/std"", ""prompt_template"": ""not_applicable"", ""resize"": ""bicubic"", ""tokenizer"": ""not_applicable""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,main_finetune.py,partially_verified
retfound,retfound-oct,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
retfound-green,retfound-green-v0.1,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""none"", ""input_size"": [392, 392], ""normalization"": ""mean=0.5 std=0.5"", ""prompt_template"": ""not_applicable"", ""resize"": ""antialiased_direct_resize"", ""tokenizer"": ""not_applicable""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,repository examples,partially_verified
retfound-green,retfound-green-v0.1,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
retizero,retizero-default,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""none"", ""input_size"": [224, 224], ""normalization"": ""ImageNet mean/std"", ""prompt_template"": ""A fundus photograph of [CLS]"", ""resize"": ""direct_resize"", ""tokenizer"": ""emilyalsentzer/Bio_ClinicalBERT""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Zeroshot.py; ImageRetrieval.py; Finetuning.py,partially_verified
retizero,retizero-default,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
urfound,urfound-default,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""official dataset transform"", ""input_size"": [448, 448], ""normalization"": ""official dataset transform"", ""prompt_template"": ""report text tokens"", ""resize"": ""official dataset transform"", ""tokenizer"": ""BERT tokenizer""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,repository training scripts,partially_verified
urfound,urfound-default,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
vilref,vilref-default,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""none"", ""input_size"": [224, 224], ""normalization"": ""CLIP mean/std"", ""prompt_template"": ""free text"", ""resize"": ""bicubic"", ""tokenizer"": ""ViLReF.clip.utils.tokenize""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,repository evaluation scripts,partially_verified
vilref,vilref-default,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
visionunite,visionunite-default,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""center_448"", ""input_size"": [448, 448], ""normalization"": ""mean=0.5 std=0.5"", ""prompt_template"": ""llama.format_prompt"", ""resize"": ""bicubic_then_center_crop"", ""tokenizer"": ""external LLaMA tokenizer.model""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,demo.py; exps/train.sh,partially_verified
visionunite,visionunite-default,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
