image_key,true_label,n_correct_models,n_error_models,oracle_correct,convnext_tiny_pred,convnext_tiny_correct,retfound_green_linear_probe_pred,retfound_green_linear_probe_correct,retfound_mae_cfp_official_like_pred,retfound_mae_cfp_official_like_correct
12025b34deb8,2,2,1,True,2,True,4,False,2,True
13063d1bc4ea,2,2,1,True,1,False,2,True,2,True
14515b8f19b6,2,2,1,True,1,False,2,True,2,True
15f440753916,3,2,1,True,3,True,3,True,2,False
1632c4311fc9,2,2,1,True,2,True,1,False,2,True
1a90fad9ffa2,4,2,1,True,4,True,4,True,2,False
1b8ad0afe9fb,2,2,1,True,0,False,2,True,2,True
1da25637859b,2,2,1,True,2,True,4,False,2,True
1e4b3b823b95,2,2,1,True,2,True,3,False,2,True
1e742358e0b9,0,2,1,True,0,True,1,False,0,True
2017cd92c63d,4,2,1,True,3,False,4,True,4,True
236f56771ec6,2,2,1,True,2,True,1,False,2,True
290ecdba359f,2,2,1,True,2,True,4,False,2,True
29f44aea93a4,2,2,1,True,2,True,2,True,1,False
2a099b247b10,2,2,1,True,2,True,3,False,2,True
2b21d293fdf2,2,2,1,True,2,True,3,False,2,True
2b4c7b5f1f1e,0,2,1,True,0,True,2,False,0,True
2ba0b0d9bda2,2,2,1,True,2,True,3,False,2,True
2bbcfdc477db,4,2,1,True,3,False,4,True,4,True
2cbfc6182ba2,2,2,1,True,2,True,2,True,4,False
2f42e20db938,3,2,1,True,3,True,3,True,4,False
3402124408ea,2,2,1,True,2,True,4,False,2,True
360832d84ce0,0,2,1,True,0,True,0,True,4,False
362c4a96cebb,2,2,1,True,2,True,4,False,2,True
36b5b3c9fb32,3,2,1,True,3,True,3,True,2,False
37de05ef12a5,2,2,1,True,2,True,3,False,2,True
3c53198519f7,2,2,1,True,2,True,1,False,2,True
3c78bfca247b,4,2,1,True,3,False,4,True,4,True
3f8d5c940ba4,2,2,1,True,2,True,4,False,2,True
405b4f78658f,3,2,1,True,3,True,3,True,4,False
4189d4e631ec,2,2,1,True,2,True,2,True,4,False
423abbaa5fad,2,2,1,True,2,True,2,True,4,False
4661006f3ba6,1,2,1,True,1,True,2,False,1,True
46d3316c4857,4,2,1,True,3,False,4,True,4,True
4818672273af,2,2,1,True,2,True,4,False,2,True
495255c7492f,1,2,1,True,1,True,1,True,2,False
498f143c0374,3,2,1,True,3,True,3,True,4,False
4a0bba3b7d83,2,2,1,True,2,True,1,False,2,True
4f46d7ee61ed,2,2,1,True,2,True,2,True,4,False
51405d042000,2,2,1,True,2,True,2,True,4,False
51da6aebba8f,3,2,1,True,3,True,3,True,4,False
52230bbef30e,2,2,1,True,2,True,1,False,2,True
527bea76116c,2,2,1,True,2,True,1,False,2,True
530d78467615,2,2,1,True,1,False,2,True,2,True
537e50fdf22e,3,2,1,True,3,True,3,True,4,False
55fd453001cc,2,2,1,True,2,True,3,False,2,True
5723d0ec895e,2,2,1,True,1,False,2,True,2,True
57ce57a8cfb0,2,2,1,True,1,False,2,True,2,True
5a2c27b95c7c,2,2,1,True,2,True,1,False,2,True
5b644a403e1f,2,2,1,True,2,True,3,False,2,True
5dd2e26fc244,4,2,1,True,4,True,3,False,4,True
5f13e8a07344,3,2,1,True,3,True,3,True,4,False
60e269e3e188,2,2,1,True,2,True,4,False,2,True
612f2df37a1d,4,2,1,True,4,True,3,False,4,True
613028ede6a0,4,2,1,True,3,False,4,True,4,True
624fb7317106,2,2,1,True,2,True,3,False,2,True
65dda202653d,0,2,1,True,0,True,1,False,0,True
686ed1dbae20,2,2,1,True,1,False,2,True,2,True
6c2555a9cae4,2,2,1,True,2,True,4,False,2,True
6c3745a222da,4,2,1,True,2,False,4,True,4,True
6df8b7b6e837,0,2,1,True,0,True,2,False,0,True
709784f7fcc2,2,2,1,True,2,True,3,False,2,True
70f5caf5f305,2,2,1,True,2,True,1,False,2,True
7131bf4c9e6f,0,2,1,True,1,False,0,True,0,True
71a39c660432,3,2,1,True,3,True,3,True,2,False
7350c50667c5,2,2,1,True,2,True,1,False,2,True
7455e2b5fc57,2,2,1,True,2,True,4,False,2,True
76be29bb30b2,1,2,1,True,0,False,1,True,1,True
76cfe8967f7d,2,2,1,True,2,True,3,False,2,True
78d53c82a23e,2,2,1,True,2,True,3,False,2,True
79540be95177,2,2,1,True,2,True,2,True,4,False
7c2f820a6425,2,2,1,True,2,True,1,False,2,True
7f60f2a083d3,1,2,1,True,1,True,1,True,2,False
80e7cc0a0649,3,2,1,True,3,True,3,True,4,False
82bb8a01935f,4,2,1,True,1,False,4,True,4,True
857230f64a2e,4,2,1,True,3,False,4,True,4,True
8676427e4625,1,2,1,True,1,True,1,True,2,False
878a3a097436,2,2,1,True,2,True,1,False,2,True
8a759f94613a,2,2,1,True,1,False,2,True,2,True
8bad12d70368,4,2,1,True,4,True,2,False,4,True
8e63fc4ab532,2,2,1,True,2,True,1,False,2,True
8f318a978844,4,2,1,True,2,False,4,True,4,True
90c982cc2d96,1,2,1,True,1,True,1,True,2,False
916ec976ff30,3,2,1,True,3,True,3,True,4,False
91a88d3b0358,2,2,1,True,2,True,1,False,2,True
91cf56d3d1af,3,2,1,True,3,True,3,True,4,False
92f313287a29,2,2,1,True,2,True,1,False,2,True
9837048b85dc,2,2,1,True,2,True,3,False,2,True
9878db94d9f3,3,2,1,True,3,True,3,True,4,False
98f48850ebce,2,2,1,True,2,True,3,False,2,True
9a78c6a7b1c2,2,2,1,True,1,False,2,True,2,True
9b0eb9f41da4,2,2,1,True,2,True,3,False,2,True
a0267206d51e,2,2,1,True,2,True,2,True,4,False
a14bbd9a583e,3,2,1,True,3,True,3,True,4,False
a15590a7d774,2,2,1,True,2,True,0,False,2,True
a1b28bcbce00,0,2,1,True,0,True,1,False,0,True
a56729de89e9,2,2,1,True,2,True,4,False,2,True
a76b69e443ce,4,2,1,True,4,True,2,False,4,True
a790a3b36390,2,2,1,True,2,True,1,False,2,True
a80dab8eddf4,3,2,1,True,3,True,3,True,4,False
a8eb35b3bcd2,2,2,1,True,2,True,1,False,2,True
abe940882578,0,2,1,True,0,True,1,False,0,True
af133a85ea0c,1,2,1,True,1,True,1,True,2,False
af8aa32beee4,2,2,1,True,2,True,3,False,2,True
b3819a805dca,4,2,1,True,3,False,4,True,4,True
b4b04d81acbb,0,2,1,True,0,True,1,False,0,True
b7278b4f2448,1,2,1,True,1,True,1,True,2,False
b9127e38d9b9,2,2,1,True,2,True,4,False,2,True
c0202976c670,2,2,1,True,2,True,4,False,2,True
c0968d41eb93,1,2,1,True,1,True,1,True,2,False
c96f743915b5,1,2,1,True,1,True,1,True,2,False
cd29c88c9e36,2,2,1,True,1,False,2,True,2,True
cff262ed8f4c,0,2,1,True,0,True,1,False,0,True
d10d315f123f,2,2,1,True,2,True,3,False,2,True
d16398c971e9,3,2,1,True,3,True,3,True,2,False
d1f1ea894da1,2,2,1,True,2,True,2,True,1,False
d271d3a2b552,4,2,1,True,2,False,4,True,4,True
d93b61dc8f64,0,2,1,True,0,True,0,True,2,False
d968a983d4d2,2,2,1,True,2,True,4,False,2,True
d9bbdc33db83,2,2,1,True,2,True,3,False,2,True
da44f80b422b,2,2,1,True,2,True,2,True,4,False
daad7b617f21,0,2,1,True,1,False,0,True,0,True
dbb2c63f6f08,3,2,1,True,3,True,3,True,2,False
de57c9e9fa93,0,2,1,True,0,True,0,True,2,False
df5ce3ea7820,2,2,1,True,1,False,2,True,2,True
e10190a9d52f,2,2,1,True,2,True,2,True,4,False
e1fb532f55df,3,2,1,True,3,True,3,True,4,False
e2a47a74e6e1,2,2,1,True,2,True,3,False,2,True
e32a359be36d,3,2,1,True,3,True,3,True,4,False
e5d56f4f359b,2,2,1,True,2,True,3,False,2,True
e6a58edc5b42,2,2,1,True,2,True,1,False,2,True
e811f39a1243,2,2,1,True,2,True,3,False,2,True
e83d315d8f98,2,2,1,True,2,True,3,False,2,True
e93394175a19,3,2,1,True,3,True,3,True,2,False
ea15a290eb96,1,2,1,True,0,False,1,True,1,True
eadc57064154,4,2,1,True,2,False,4,True,4,True
eb32a815f78c,2,2,1,True,1,False,2,True,2,True
ee059945b08a,2,2,1,True,2,True,2,True,4,False
ee6e39319b39,2,2,1,True,2,True,3,False,2,True
efff2f1a35f5,2,2,1,True,2,True,4,False,2,True
f18abfa690ab,2,2,1,True,2,True,2,True,4,False
f3b6b7ca1eb1,2,2,1,True,2,True,4,False,2,True
f460608cf4cc,2,2,1,True,1,False,2,True,2,True
f72adcac5638,4,2,1,True,1,False,4,True,4,True
f9156aeffc5e,3,2,1,True,3,True,3,True,4,False
fa3e544a7401,2,2,1,True,1,False,2,True,2,True
fe37f4492920,2,2,1,True,2,True,2,True,1,False
fecf4c5ae84b,1,2,1,True,1,True,1,True,2,False
