record_type,task_id,dataset_id,evaluation_design,route_id,scout_id,expert_id,benchmark_split,analysis_split,cohort,comparison_axis,policy,requested_budget,budget_source,risk_cap,risk_cap_met,n_cases,selected_n,realized_budget,corrected_total,introduced_total,corrected_selected,introduced_selected,dangerous_introduced_selected,net_selected,corrected_capture_rate,help_rate_among_consulted,harm_rate_among_consulted,introduced_burden_per_case,scout_accuracy,final_accuracy,cost_protocol_id,cost_comparable,estimated_component_cost_ms_per_case,formal_v1_1_route,policy_may_grant_eligibility,safety_eligibility_gate_required,dataset_id_used_as_predictor,current_case_expert_output_used_for_ranking,test_used_for_fit_threshold_budget_or_route_selection,retrospective_only,comparison_status,route_selected_from_development_only,v1_1_unavailable_reason,locked_comparator_policy,comparator_corrected_selected,comparator_introduced_selected,comparator_net_selected,delta_corrected_selected,delta_introduced_selected,delta_net_selected,corrected_difference_ci_lower,corrected_difference_ci_upper,introduced_difference_ci_lower,introduced_difference_ci_upper,net_difference_ci_lower,net_difference_ci_upper,bootstrap_replicates,bootstrap_group_count,study_decision,source_commit_sha,protocol_sha256,generated_at_utc
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,entropy,0.3,fixed_grid,,,235,70,0.2978723404,42,23,20,13,4,7,0.4761904762,0.2857142857,0.1857142857,0.05531914894,0.6042553191,0.6340425532,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,margin,22,13,9,-2,0,-2,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,margin,0.3,fixed_grid,,,235,70,0.2978723404,42,23,22,13,7,9,0.5238095238,0.3142857143,0.1857142857,0.05531914894,0.6042553191,0.6425531915,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,margin,22,13,9,0,0,0,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_availability,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,frozen_v1_1_availability,consultation_policy_baseline_v1_1,,,,,,,,,,,,,,,,,,,,,,,,False,True,,False,False,,not_applicable_no_frozen_route_identity,True,not_a_frozen_single_scout_v1_1_route,,,,,,,,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,reference_endpoint,scout_only,0,fixed_grid,,,400,0,0,50,39,0,0,0,0,0,,,0,0.6375,0.6375,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,True,available,True,,,,,,,,,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,reference_endpoint,always_expert,1,fixed_grid,,,400,400,1,50,39,50,39,11,11,1,0.125,0.0975,0.0975,0.6375,0.665,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,True,available,True,,,,,,,,,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,same_budget,dual_logistic_harm_screened_help,0.1,fixed_grid,,,400,40,0.1,50,39,0,1,0,-1,0,0,0.025,0.0025,0.6375,0.635,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,True,available,True,,entropy,6,8,-2,-6,-7,1,-12,-2,-14,-1,-7,10,1000,100,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,same_budget,entropy,0.1,fixed_grid,,,400,40,0.1,50,39,6,8,2,-2,0.12,0.15,0.2,0.02,0.6375,0.6325,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,True,available,True,,entropy,6,8,-2,0,0,0,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,same_budget,margin,0.1,fixed_grid,,,400,40,0.1,50,39,10,3,2,7,0.2,0.25,0.075,0.0075,0.6375,0.655,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,True,available,True,,entropy,6,8,-2,4,-5,9,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,same_budget,dual_logistic_harm_screened_help,0.2,fixed_grid,,,400,80,0.2,50,39,5,8,1,-3,0.1,0.0625,0.1,0.02,0.6375,0.63,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,True,available,True,,entropy,12,14,-2,-7,-6,-1,-17,1,-15,4,-15,11.025,1000,100,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,same_budget,entropy,0.2,fixed_grid,,,400,80,0.2,50,39,12,14,3,-2,0.24,0.15,0.175,0.035,0.6375,0.6325,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,True,available,True,,entropy,12,14,-2,0,0,0,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,same_budget,margin,0.2,fixed_grid,,,400,80,0.2,50,39,17,9,4,8,0.34,0.2125,0.1125,0.0225,0.6375,0.6575,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,True,available,True,,entropy,12,14,-2,5,-5,10,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,same_budget,dual_logistic_harm_screened_help,0.3,fixed_grid,,,400,120,0.3,50,39,12,12,3,0,0.24,0.1,0.1,0.03,0.6375,0.6375,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,True,available,True,,margin,28,15,13,-16,-3,-13,-29,-5,-12,6,-29,2.025,1000,100,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,same_budget,entropy,0.3,fixed_grid,,,400,120,0.3,50,39,19,18,4,1,0.38,0.1583333333,0.15,0.045,0.6375,0.64,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,True,available,True,,margin,28,15,13,-9,3,-12,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,retrospective_frozen,retrospective_evaluation,deepdrid_patient_grouped_high_quality_route,same_budget,margin,0.3,fixed_grid,,,400,120,0.3,50,39,28,15,6,13,0.56,0.2333333333,0.125,0.0375,0.6375,0.67,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,True,available,True,,margin,28,15,13,0,0,0,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_availability,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__retizero,retfound_green,retizero,development,development_oof,deepdrid_patient_grouped_high_quality_route,frozen_v1_1_availability,consultation_policy_baseline_v1_1,,,,,,,,,,,,,,,,,,,,,,,,False,True,,False,False,,not_applicable_no_frozen_route_identity,True,not_a_frozen_single_scout_v1_1_route,,,,,,,,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__retizero,retfound_green,retizero,development,development_oof,deepdrid_patient_grouped_high_quality_route,reference_endpoint,scout_only,0,fixed_grid,,,235,0,0,30,18,0,0,0,0,0,,,0,0.6042553191,0.6042553191,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,,,,,,,,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__retizero,retfound_green,retizero,development,development_oof,deepdrid_patient_grouped_high_quality_route,reference_endpoint,always_expert,1,fixed_grid,,,235,235,1,30,18,30,18,7,12,1,0.1276595745,0.07659574468,0.07659574468,0.6042553191,0.6553191489,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,,,,,,,,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__retizero,retfound_green,retizero,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,dual_logistic_harm_screened_help,0.1,fixed_grid,,,235,24,0.1021276596,30,18,0,0,0,0,0,0,0,0,0.6042553191,0.6042553191,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,entropy,4,2,2,-4,-2,-2,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__retizero,retfound_green,retizero,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,entropy,0.1,fixed_grid,,,235,24,0.1021276596,30,18,4,2,1,2,0.1333333333,0.1666666667,0.08333333333,0.008510638298,0.6042553191,0.6127659574,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,entropy,4,2,2,0,0,0,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__retizero,retfound_green,retizero,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,margin,0.1,fixed_grid,,,235,24,0.1021276596,30,18,6,7,3,-1,0.2,0.25,0.2916666667,0.02978723404,0.6042553191,0.6,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,entropy,4,2,2,2,5,-3,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__retizero,retfound_green,retizero,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,dual_logistic_harm_screened_help,0.2,fixed_grid,,,235,47,0.2,30,18,3,3,1,0,0.1,0.06382978723,0.06382978723,0.01276595745,0.6042553191,0.6042553191,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,margin,12,9,3,-9,-6,-3,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__retizero,retfound_green,retizero,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,entropy,0.2,fixed_grid,,,235,47,0.2,30,18,10,7,1,3,0.3333333333,0.2127659574,0.1489361702,0.02978723404,0.6042553191,0.6170212766,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,margin,12,9,3,-2,-2,0,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__retizero,retfound_green,retizero,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,margin,0.2,fixed_grid,,,235,47,0.2,30,18,12,9,3,3,0.4,0.2553191489,0.1914893617,0.03829787234,0.6042553191,0.6170212766,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,margin,12,9,3,0,0,0,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__retizero,retfound_green,retizero,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,dual_logistic_harm_screened_help,0.3,fixed_grid,,,235,70,0.2978723404,30,18,6,7,1,-1,0.2,0.08571428571,0.1,0.02978723404,0.6042553191,0.6,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,margin,15,12,3,-9,-5,-4,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__retizero,retfound_green,retizero,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,entropy,0.3,fixed_grid,,,235,70,0.2978723404,30,18,12,10,3,2,0.4,0.1714285714,0.1428571429,0.04255319149,0.6042553191,0.6127659574,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,margin,15,12,3,-3,-2,-1,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
